Num,FileName,NumberOfNucleotides,NumberOfWeakBonds,IsPseudoknotted,TimeToGenerateStructuralSequence[ns]
1,"CRW_23S_E_A_27.ct",3946,1091,Yes,20508542
2,"CRW_23S_E_A_28.ct",4381,1147,Yes,75791959
3,"CRW_23S_E_A_4.ct",2700,782,Yes,2476000
4,"CRW_23S_E_F_20.ct",3273,704,No,1282417
5,"CRW_23S_E_F_21.ct",4216,739,Yes,1862458
6,"CRW_23S_E_F_29.ct",3554,1066,Yes,6489125
7,"CRW_23S_E_G_2.ct",2926,863,Yes,3205417
8,"CRW_23S_E_M_12.ct",953,219,No,722792
9,"CRW_23S_E_M_13.ct",1335,316,Yes,270625
10,"CRW_23S_E_M_15.ct",1275,300,Yes,294083
11,"CRW_23S_E_M_17.ct",1279,275,No,208083
12,"CRW_23S_E_M_18.ct",1244,314,Yes,296875
13,"CRW_23S_E_M_19.ct",1411,317,Yes,371375
14,"CRW_23S_E_M_22.ct",1640,372,No,451209
15,"CRW_23S_E_M_7.ct",1035,268,Yes,220250
16,"CRW_23S_E_V_1.ct",2902,850,Yes,1826709
17,"CRW_23S_E_V_23.ct",3514,746,Yes,2416167
18,"CRW_23S_E_V_24.ct",3539,998,No,4911958
19,"CRW_23S_E_V_26.ct",3541,1012,No,5081792
20,"CRW_23S_E_V_5.ct",2913,851,Yes,2266792
21,"CRW_23S_E_V_6.ct",2985,884,Yes,2461833
